UserID,RegisterID,Date,EventCategory,Link,SearchTerm,Location,Modality,Name,Target,Origin,FilterGroup
e073a225-db3a-4bb3-a95c-7ed224881413,1010217,28:42.6,recipeSearch,,Appetizers & Snacks,,,,,,recipeCategoryTags
1ebe75ff-26ac-4ad6-a58d-70cf22d971d8,NULL,28:49.7,centerSearch,,,31030,1,,,,
027b143c-2c91-4988-9c39-bb3fb3e5fcdf,1152432,29:10.1,recipeSearch,,Ground beef,,,,,,
0f8b6065-d0b4-4de4-9df2-c6bcd062fb32,NULL,30:27.8,recipeSearch,,SAUCES,,,,,,
0f8b6065-d0b4-4de4-9df2-c6bcd062fb32,NULL,30:34.8,recipeSearch,,Dialysis,,,,,,recipeDietTags
ac2838df-7532-4fed-abb0-9d62a1b313da,NULL,32:04.4,centerSearch,,,Boca Raton,0,,,,
e073a225-db3a-4bb3-a95c-7ed224881413,1010217,35:37.8,recipeSearch,,Appetizers & Snacks,,,,,,recipeCategoryTags
e446c943-4959-492f-b7bc-ef1990ce2e26,NULL,36:57.7,recipeSearch,,Breakfast & Brunch,,,,,,recipeCategoryTags
ac8828fd-d471-47f7-89cc-a9e928a14c83,NULL,38:17.0,recipeSearch,,Breakfast & Brunch,,,,,,recipeCategoryTags
bd07b5bc-4f91-422b-b861-a5bfedaa8b56,NULL,38:37.7,recipeSearch,,desserts,,,,,,
0f8b6065-d0b4-4de4-9df2-c6bcd062fb32,NULL,39:11.9,recipeSearch,,Dialysis,,,,,,recipeDietTags
bd07b5bc-4f91-422b-b861-a5bfedaa8b56,NULL,39:44.0,recipeSearch,,Desserts,,,,,,recipeCategoryTags
508dfcab-5276-42c4-8e30-56501c9e0b7b,NULL,40:57.8,centerSearch,,,63136,0,,,,
c34175b1-ada0-4c6a-9e75-d2bcb34e6576,NULL,46:28.0,pageView,https://local.davita.com/starthomedialysis?utm_source=miq&utm_medium=display&utm_campaign=sacramento&utm_term=geo&utm_content=boxer,,,,,,,
17ae192c-1b52-4484-b107-a509352f8dd7,NULL,46:33.8,pageView,https://www.davita.com/?_ga=2.10210421.1980050068.1611085626-207875720.1611085626,,,,,,,
16b74419-3a65-44e4-8460-e76e812b43f6,NULL,46:58.3,pageView,https://www.davita.com/treatment-services/dialysis/what-happens-if-someone-stops-dialysis,,,,,,,
58db318e-7f8f-4f71-bd57-21ef0511b92a,NULL,47:12.3,pageView,https://www.davita.com/education/kidney-disease/stages/late-stage-kidney-disease,,,,,,,
f2e62d8f-5eee-4dae-9621-0208a461fbda,NULL,47:15.3,pageView,https://www.davita.com/tools/find-dialysis-center/request-treatment/tx/cedar-park/1720-e-whitestone-blvd--2201,,,,,,,
fa19511c-2bf2-474f-8beb-62d456799cb6,NULL,47:25.8,pageView,https://www.davita.com/diet-nutrition/recipe-collections/5-renal-friendly-yogurt-recipes,,,,,,,
c321da5d-b707-4e68-8dd0-f94d127f6823,NULL,47:45.8,pageView,https://www.davita.com/diet-nutrition/articles/advice/top-15-healthy-foods-for-people-with-kidney-disease,,,,,,,
925db1f4-afff-415d-8161-22474da53da0,NULL,47:57.1,recipeSearch,,chili,,,,,,
c7b78d6d-b538-41e6-b20d-d6456f4cbe04,NULL,48:14.6,pageView,https://www.davita.com/diet-nutrition/kidney-friendly-cookbooks,,,,,,,
380390a5-078b-4fa9-ae33-68a379080d04,NULL,48:20.2,pageView,https://www.davita.com/partners/health-plans,,,,,,,
